race,hours,age,parttime,educ,logwg,loghrwg,married,nevermar,sepdivw
0,40,52,0,14,6.461468,2.772589,0,1,0
0,0,56,0,16,6.907755,2.70805,0,0,1
0,50,33,0,12,6.55108,2.639057,0,1,0
0,25,47,1,14,6.356542,3.137666,0,0,1
0,50,59,0,14,7.226209,3.295837,1,0,0
0,50,22,0,12,6.856462,2.833213,0,1,0
1,0,18,1,11,5.135798,2.125848,0,1,0
1,24,51,1,12,5.662961,2.484907,0,1,0
0,0,44,0,14,7.204893,2.70805,1,0,0
0,40,44,0,14,6.327937,2.639057,1,0,0
1,40,39,0,16,6.684612,2.995732,0,0,1
1,35,37,0,12,6.060874,2.505526,0,0,1
1,40,57,0,12,6.719013,3.030134,1,0,0
1,20,45,1,12,5.521461,2.525729,1,0,0
1,20,25,1,12,5.347107,2.351375,0,1,0
1,0,46,1,16,5.791488,2.517696,1,0,0
1,6,17,1,10,3.871201,2.079442,0,1,0
1,40,70,0,18,7.003066,3.314186,0,1,0
1,0,54,0,14,7.275477,2.70805,1,0,0
1,0,28,0,14,6.64539,2.995732,0,1,0
1,10,27,1,14,4.60517,2.302585,0,1,0
1,8,50,1,16,5.075174,2.995732,1,0,0
1,10,18,1,12,4.283587,1.981001,0,1,0
1,40,27,0,12,7.185387,3.178054,1,0,0
1,40,26,0,16,5.703783,2.014903,1,0,0
1,40,53,0,16,6.944569,3.218876,1,0,0
1,40,53,0,16,6.522093,2.833213,1,0,0
1,25,51,0,12,6.309918,3.091043,1,0,0
1,40,49,0,12,6.327937,2.639057,1,0,0
0,40,35,0,12,6.086775,2.397895,1,0,0
1,0,62,0,12,6.620073,3.401197,0,0,1
1,0,33,0,14,6.345636,2.657459,0,0,1
1,0,58,0,12,6.554646,2.85647,1,0,0
1,40,45,0,12,6.327937,2.639057,0,0,1
1,40,44,0,14,6.327937,2.639057,0,0,1
1,40,47,0,12,6.802839,3.11396,0,0,1
1,16,17,1,11,5.075174,2.302585,0,1,0
1,0,36,1,16,6.109248,2.302585,0,1,0
0,40,57,0,16,6.633318,2.944439,0,0,1
0,30,28,1,12,5.915663,2.514465,0,1,0
1,40,61,0,14,7.02037,3.33149,0,0,1
1,40,33,0,16,6.747587,3.058707,0,1,0
0,40,37,0,14,6.779922,3.091043,0,1,0
0,40,24,0,11,6.39693,2.70805,0,1,0
1,14,23,1,16,4.890349,2.251292,0,1,0
1,40,26,0,16,6.486161,2.797281,0,1,0
1,30,23,1,12,5.799093,2.397895,0,1,0
1,40,48,0,16,6.751101,2.890372,1,0,0
1,30,27,1,14,6.173786,2.772589,0,1,0
1,40,35,0,12,6.579251,2.890372,1,0,0
1,40,61,0,12,6.54535,2.85647,1,0,0
0,40,47,0,16,7.766417,4.077538,0,1,0
1,0,39,1,18,3.426215,2.397895,0,1,0
1,0,36,0,7.5,5.857933,2.197225,1,0,0
1,35,57,0,2.5,5.634789,2.079442,1,0,0
1,40,35,0,14,6.214608,2.525729,0,1,0
1,0,56,0,12,7.204893,3.328268,1,0,0
1,0,59,0,11,6.799056,3.110845,1,0,0
0,0,66,1,12,3.555348,2.409644,0,1,0
0,0,40,0,16,6.745236,3.850147,1,0,0
0,0,37,0,14,6.620073,3.637586,1,0,0
0,40,61,0,12,6.253829,2.564949,0,0,1
1,40,28,0,14,6.327937,2.639057,0,1,0
1,40,59,0,12,6.579251,2.890372,0,0,1
1,0,28,0,18,6.682108,2.797281,0,1,0
1,35,56,0,12,6.364751,2.809403,0,0,1
1,40,46,0,12,6.507277,2.818398,0,1,0
1,0,42,0,16,7.422971,3.51244,0,0,1
0,0,42,0,16,7.600903,3.912023,0,1,0
1,25,69,1,18,5.713733,2.494857,1,0,0
1,0,33,0,14,6.471032,2.879198,1,0,0
1,30,26,0,14,6.39693,2.995732,0,1,0
1,40,30,0,11,6.253829,2.564949,0,1,0
1,40,30,0,14,6.574797,2.885917,1,0,0
1,17,28,1,14,5.084505,2.251292,1,0,0
0,30,21,1,14,5.703783,2.302585,0,1,0
0,0,56,0,14,6.566672,2.70805,0,1,0
0,0,26,0,14,6.827629,2.224623,0,1,0
1,40,59,0,16,6.356108,2.667228,0,1,0
1,40,62,0,16,6.356108,2.667228,0,1,0
1,38,48,0,14,5.988961,2.351375,1,0,0
1,40,50,0,14,6.177944,2.489065,1,0,0
1,40,31,0,14,6.574797,2.885917,1,0,0
1,40,33,0,12,5.991465,2.302585,1,0,0
1,40,58,0,14,6.39693,2.70805,0,0,1
1,40,54,0,14,6.802839,3.11396,1,0,0
1,10,69,1,14,4.442651,2.140066,0,0,1
1,40,48,0,14,6.579251,2.890372,0,0,1
0,40,61,0,11,6.788972,2.862201,1,0,0
